epoch,loss,val_loss
1,0.39009,0.12785
2,0.13608,0.11489
3,0.11367,0.10847
4,0.10331,0.11167
5,0.09945,0.10806
6,0.09627,0.09083
7,0.09098,0.10505
8,0.08664,0.08597
9,0.08654,0.08895
10,0.08224,0.10333
11,0.07992,0.09291
12,0.07485,0.10082
13,0.07746,0.17934
14,0.08751,0.09081
15,0.07871,0.08324
16,0.07664,0.08287
17,0.07377,0.10174
18,0.06518,0.09948
19,0.06415,0.11036
20,0.06754,0.08935
