epoch,loss,val_loss
1,0.39527,0.11374
2,0.11738,0.09979
3,0.10459,0.10130
4,0.09939,0.10019
5,0.09586,0.10918
6,0.09106,0.09194
7,0.08739,0.08771
8,0.08331,0.09788
9,0.08302,0.09498
10,0.08104,0.09393
11,0.07753,0.10294
12,0.07201,0.09236
13,0.07194,0.13797
14,0.08955,0.08681
15,0.07737,0.08573
16,0.07383,0.10540
17,0.07398,0.09385
18,0.07272,0.09013
19,0.06738,0.08003
20,0.06070,0.09528
