epoch,loss,val_loss
1,0.42970,0.23530
2,0.19463,0.18977
3,0.16915,0.17189
4,0.15868,0.16010
5,0.15254,0.15573
6,0.14348,0.15688
7,0.13746,0.14915
8,0.13145,0.15158
9,0.12867,0.14916
10,0.12887,0.14970
11,0.12691,0.15085
12,0.12149,0.16051
13,0.13880,0.30110
14,0.14176,0.14297
15,0.13070,0.13990
16,0.12792,0.13799
17,0.12410,0.14241
18,0.12161,0.13607
19,0.11987,0.13250
20,0.11436,0.13420
