epoch,loss,val_loss
1,0.42222,0.13615
2,0.15163,0.13549
3,0.13894,0.13598
4,0.13664,0.13696
5,0.13117,0.15384
6,0.12695,0.13063
7,0.12533,0.14834
8,0.11770,0.13393
9,0.11517,0.13454
10,0.11385,0.13772
11,0.10772,0.13496
12,0.09699,0.15097
13,0.08191,0.25777
14,0.11712,0.12332
15,0.10537,0.12664
16,0.10069,0.16101
17,0.08942,0.14642
18,0.07314,0.16390
19,0.07004,0.13891
20,0.12471,0.11854
